Design Variation:  extent_x_pos='1000mm' extent_x_size='-1000mm' extent_y_pos='1000mm' extent_y_size='-1000mm' Signal12_lower_elevation='0mm' Signal4_lower_elevation='0mm'
Setup1:LastAdaptive
Problem Type:  C
C Units:fF, G Units:mSie
Reduce Matrix:  Original
Frequency:  6GHz

Capacitance Matrix
,GND,Q0_L,Q0_R,Q0_read,Q0_xy,Q1_L,Q1_R,Q1_read,Q1_xy,Q2_L,Q2_R,Q2_read,Q2_xy,Q3_L,Q3_R,Q3_read,Q3_xy,Q4_L,Q4_R,Q4_read,Q4_xy,Q5_L,Q5_R,Q5_read,Q5_xy,
GND,2.229679636709671E+03,-9.626787074079328E+01,-9.880857528358932E+01,-3.999800455722590E+01,-6.773996004638164E+01,-9.620033525469141E+01,-9.884256135150828E+01,-3.992631500254304E+01,-6.672158579519306E+01,-9.611353212673082E+01,-9.905662705145576E+01,-3.997383892280543E+01,-6.514529680162831E+01,-9.612544920033197E+01,-9.907413108613757E+01,-3.979399799353853E+01,-6.547465364745509E+01,-9.603126701683303E+01,-9.907519140185016E+01,-3.971040898940156E+01,-6.691665705149620E+01,-9.605660949483756E+01,-9.894175810032246E+01,-3.971796715042360E+01,-6.785398944746817E+01
Q0_L,-9.626787074079328E+01,1.710834725255683E+02,-5.624887471592338E+01,-1.814366633267832E+01,-1.115773953637073E-01,-2.246042224082683E-02,-1.161776833089013E-02,-1.199209514415083E-03,-5.608905377787230E-04,-2.383960395784656E-03,-1.153894679553187E-03,-1.018872558809758E-04,-3.159416115902261E-05,-2.293570319245076E-03,-1.527926168086166E-03,-8.846669211940435E-05,-1.853026851051359E-05,-1.624853044802167E-03,-2.123542880271114E-03,-7.183857218388825E-05,-1.558539372618703E-05,-6.855728284876627E-04,-6.546006598692047E-04,-3.103016623097640E-05,-1.654425139319850E-05
Q0_R,-9.880857528358932E+01,-5.624887471592338E+01,1.570307256846041E+02,-9.019025146787606E-01,-6.331390648094276E-01,-5.301556616795120E-02,-2.790205242110032E-02,-2.409115488203700E-03,-4.939622129249327E-04,-3.284103070220271E-03,-2.478111830016998E-03,-1.400374446944989E-04,-4.782342877719801E-05,-2.358771673245908E-03,-1.558084275538580E-03,-9.754427830092332E-05,-1.954990517496989E-05,-1.570866683972828E-03,-1.907230491928704E-03,-6.334475834637912E-05,-1.803701310878904E-05,-7.044618215200027E-04,-6.810200402795741E-04,-3.954690734300216E-05,-1.553411174010934E-05
Q0_read,-3.999800455722590E+01,-1.814366633267832E+01,-9.019025146787606E-01,5.904723308089845E+01,-2.367997038741616E-03,-3.836389557796448E-04,-4.827082777313743E-04,-4.250208456182812E-05,0.000000000000000E+00,-5.101680171754587E-05,-5.711335107863167E-05,-5.007444649155609E-06,-4.114065431890819E-06,-5.347245602994640E-05,-3.738230912441030E-05,-2.388445283233912E-06,-1.584144542814346E-06,-6.276903990863284E-05,-5.743980493459457E-05,-1.497769436056726E-06,-1.625233265423528E-06,-2.377402841992124E-05,-2.062125039936380E-05,-1.505048776610051E-06,-1.518765687535697E-06
Q0_xy,-6.773996004638164E+01,-1.115773953637073E-01,-6.331390648094276E-01,-2.367997038741616E-03,6.853644541429178E+01,-7.281305134490457E-03,-3.535876956763927E-03,-2.160526777598325E-04,-3.762868923729329E-04,-4.737415874248529E-04,-2.329700788278750E-04,-1.167838575250141E-05,-2.150856544657103E-05,-5.978980662819960E-03,-2.469601295846007E-03,-1.878748985068690E-04,0.000000000000000E+00,-2.501113909027155E-03,-1.458286766777892E-03,-5.042064017160976E-05,0.000000000000000E+00,-4.179044363131087E-04,-4.724266161930852E-04,-6.297714708440473E-05,-2.017285496322075E-06
Q1_L,-9.620033525469141E+01,-2.246042224082683E-02,-5.301556616795120E-02,-3.836389557796448E-04,-7.281305134490457E-03,1.710350850853565E+02,-5.626954191823859E+01,-1.810338293933313E+01,-8.857724408737334E-02,-2.889156809309247E-02,-1.683841414393882E-02,-1.291853642543720E-03,-1.401468801977106E-04,-9.169485504390909E-04,-6.827175436853805E-04,-8.388474110464163E-05,-6.017426161865800E-06,-5.008169205292983E-04,-1.094065268565338E-03,-2.427256199418832E-05,-2.428877238667425E-05,-1.292574553478584E-03,-1.407404284031212E-03,-5.161058514602646E-05,-2.386777223871018E-05
Q1_R,-9.884256135150828E+01,-1.161776833089013E-02,-2.790205242110032E-02,-4.827082777313743E-04,-3.535876956763927E-03,-5.626954191823859E+01,1.569790345989413E+02,-9.049940859335338E-01,-4.567824027411883E-01,-6.089061326365971E-02,-3.278276335634068E-02,-2.621202929225624E-03,-4.145712969354447E-04,-7.577379683499876E-04,-6.834986544023079E-04,-6.281583989750098E-05,-8.879712968527588E-06,-5.057146216896983E-04,-1.117153228411653E-03,-2.850914149632792E-05,-2.237316568331466E-05,-1.253091601161575E-03,-1.392864924342934E-03,-5.871190156411893E-05,-2.181025419655996E-05
Q1_read,-3.992631500254304E+01,-1.199209514415083E-03,-2.409115488203700E-03,-4.250208456182812E-05,-2.160526777598325E-04,-1.810338293933313E+01,-9.049940859335338E-01,5.900507862744401E+01,-3.222454516186617E-03,-1.418503481691251E-03,-8.519352366591765E-04,-7.988468872882671E-05,-1.221898059370240E-05,-3.340356579449611E-05,-1.649882648514945E-05,-4.312922233726001E-06,-1.230221868788189E-06,-4.961593312428905E-05,-6.615002392884287E-05,-5.743941437873579E-06,-5.966265628115120E-07,-5.060778495011017E-05,-4.546625068770208E-05,-2.596215630211846E-06,-1.599677267831239E-06
Q1_xy,-6.672158579519306E+01,-5.608905377787230E-04,-4.939622129249327E-04,0.000000000000000E+00,-3.762868923729329E-04,-8.857724408737334E-02,-4.567824027411883E-01,-3.222454516186617E-03,6.731403726052487E+01,-6.189194572614687E-03,-3.233227371772231E-03,-2.672200896359254E-04,-6.680894369890757E-06,-5.150318982840046E-04,-3.318278662247913E-04,-6.232738198529377E-05,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,-1.478699701022447E-05,-1.142154487287352E-05,-1.211428065123519E-03,-1.893332385470999E-03,-4.786813978718130E-05,0.000000000000000E+00
Q2_L,-9.611353212673082E+01,-2.383960395784656E-03,-3.284103070220271E-03,-5.101680171754587E-05,-4.737415874248529E-04,-2.889156809309247E-02,-6.089061326365971E-02,-1.418503481691251E-03,-6.189194572614687E-03,1.710889617934972E+02,-5.625363335698065E+01,-1.814166325781429E+01,-7.890439870235927E-02,-5.861199962597950E-04,-5.723163119839380E-04,-6.053838567963218E-05,-7.273801501555560E-06,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,-1.289913376667993E-05,-9.790596198828256E-04,-9.153774484396550E-04,-5.503894773068986E-05,-1.291526061468259E-05
