Setup1:LastAdaptive
Problem Type:  C
C Units:fF, G Units:mho
Reduce Matrix:  Original
Frequency:  6Hz

Capacitance Matrix
,C0_L,C0_R,GND,Q0_L,Q0_R,Q1_L,Q1_R,
C0_L,1.894913435160541E+02,-4.645774144584244E+01,-1.234619661319674E+02,-3.227441588084813E+00,-1.473860090628852E+01,-7.086883532800234E-01,-3.809858885479859E-01
C0_R,-4.645774144584244E+01,1.894423793398989E+02,-1.234398488261978E+02,-3.717132334554657E-01,-7.014440046747475E-01,-1.465273702422981E+01,-3.218908650049241E+00
GND,-1.234619661319674E+02,-1.234398488261978E+02,1.027096536505527E+03,-9.518440962826379E+01,-8.183263979464587E+01,-8.177115895403075E+01,-9.500586831742295E+01
Q0_L,-3.227441588084813E+00,-3.717132334554657E-01,-9.518440962826379E+01,1.550470320074467E+02,-5.586757235344265E+01,-3.724505601519768E-02,-2.238034757802242E-02
Q0_R,-1.473860090628852E+01,-7.014440046747475E-01,-8.183263979464587E+01,-5.586757235344265E+01,1.534090391764496E+02,-6.066633450188928E-02,-3.611747402416857E-02
Q1_L,-7.086883532800234E-01,-1.465273702422981E+01,-8.177115895403075E+01,-3.724505601519768E-02,-6.066633450188928E-02,1.534057977084285E+02,-5.599760205955816E+01
Q1_R,-3.809858885479859E-01,-3.218908650049241E+00,-9.500586831742295E+01,-2.238034757802242E-02,-3.611747402416857E-02,-5.599760205955816E+01,1.549771572494355E+02

Capacitance Matrix Coupling Coefficient
,C0_L,C0_R,GND,Q0_L,Q0_R,Q1_L,Q1_R,
C0_L,1.000000000000000E+00,2.452024669831144E-01,2.798548700755229E-01,1.882920461281430E-02,8.644424721798245E-02,4.156614242532819E-03,2.223209335043070E-03
C0_R,2.452024669831144E-01,1.000000000000000E+00,2.798408936215831E-01,2.168890988806975E-03,4.114612705583561E-03,8.595265551406811E-02,1.878608300584289E-02
GND,2.798548700755229E-01,2.798408936215831E-01,1.000000000000000E+00,2.385220095578951E-01,2.061557506248367E-01,2.060030422539770E-01,2.381282684764348E-01
Q0_L,1.882920461281430E-02,2.168890988806975E-03,2.385220095578951E-01,1.000000000000000E+00,3.622451642278374E-01,2.414993779978566E-04,1.443780770791440E-04
Q0_R,8.644424721798245E-02,4.114612705583561E-03,2.061557506248367E-01,3.622451642278374E-01,1.000000000000000E+00,3.954589362185114E-04,2.342383763302026E-04
Q1_L,4.156614242532819E-03,8.595265551406811E-02,2.060030422539770E-01,2.414993779978566E-04,3.954589362185114E-04,1.000000000000000E+00,3.631739571354103E-01
Q1_R,2.223209335043070E-03,1.878608300584289E-02,2.381282684764348E-01,1.443780770791440E-04,2.342383763302026E-04,3.631739571354103E-01,1.000000000000000E+00

Spice Capacitance Matrix
,C0_L,C0_R,GND,Q0_L,Q0_R,Q1_L,Q1_R,
C0_L,5.159192020429093E-01,4.645774144584244E+01,1.234619661319674E+02,3.227441588084813E+00,1.473860090628852E+01,7.086883532800234E-01,3.809858885479859E-01
C0_R,4.645774144584244E+01,5.999861554493584E-01,1.234398488261978E+02,3.717132334554657E-01,7.014440046747475E-01,1.465273702422981E+01,3.218908650049241E+00
GND,1.234619661319674E+02,1.234398488261978E+02,4.264006448529983E+02,9.518440962826379E+01,8.183263979464587E+01,8.177115895403075E+01,9.500586831742295E+01
Q0_L,3.227441588084813E+00,3.717132334554657E-01,9.518440962826379E+01,3.362698006067551E-01,5.586757235344265E+01,3.724505601519768E-02,2.238034757802242E-02
Q0_R,1.473860090628852E+01,7.014440046747475E-01,8.183263979464587E+01,5.586757235344265E+01,1.719983088717551E-01,6.066633450188928E-02,3.611747402416857E-02
Q1_L,7.086883532800234E-01,1.465273702422981E+01,8.177115895403075E+01,3.724505601519768E-02,6.066633450188928E-02,1.776999268126498E-01,5.599760205955816E+01
Q1_R,3.809858885479859E-01,3.218908650049241E+00,9.500586831742295E+01,2.238034757802242E-02,3.611747402416857E-02,5.599760205955816E+01,3.152945122549640E-01

Conductance Matrix
,C0_L,C0_R,GND,Q0_L,Q0_R,Q1_L,Q1_R,
C0_L,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
C0_R,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
GND,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
Q0_L,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
Q0_R,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
Q1_L,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
Q1_R,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00

Conductance Matrix Coupling Coefficient
,C0_L,C0_R,GND,Q0_L,Q0_R,Q1_L,Q1_R,
C0_L,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
